dataset,model,iteration,rmse
HouseholdPowerConsumption1,CNN-16,1,4.727474689483643
HouseholdPowerConsumption1,CNN-16,2,4.573554515838623
HouseholdPowerConsumption1,CNN-16,3,5.014037609100342
HouseholdPowerConsumption1,CNN-16,4,4.476816654205322
HouseholdPowerConsumption1,CNN-16,5,4.513874053955078
HouseholdPowerConsumption1,CNN-32,1,4.052651882171631
HouseholdPowerConsumption1,CNN-32,2,3.9153354167938232
HouseholdPowerConsumption1,CNN-32,3,4.049533367156982
HouseholdPowerConsumption1,CNN-32,4,4.378262519836426
HouseholdPowerConsumption1,CNN-32,5,4.0191330909729
HouseholdPowerConsumption1,CNN-64,1,4.015751361846924
HouseholdPowerConsumption1,CNN-64,2,3.9341578483581543
HouseholdPowerConsumption1,CNN-64,3,4.3564558029174805
HouseholdPowerConsumption1,CNN-64,4,4.149420261383057
HouseholdPowerConsumption1,CNN-64,5,4.151074409484863
BenzeneConcentration,CNN-16,1,293.4903564453125
BenzeneConcentration,CNN-16,2,300.65789794921875
BenzeneConcentration,CNN-16,3,283.6881103515625
BenzeneConcentration,CNN-16,4,286.52178955078125
BenzeneConcentration,CNN-16,5,299.6194763183594
BenzeneConcentration,CNN-32,1,256.0566711425781
BenzeneConcentration,CNN-32,2,265.7746887207031
BenzeneConcentration,CNN-32,3,243.22911071777344
BenzeneConcentration,CNN-32,4,253.16795349121094
BenzeneConcentration,CNN-32,5,276.32470703125
BenzeneConcentration,CNN-64,1,239.67127990722656
BenzeneConcentration,CNN-64,2,241.90455627441406
BenzeneConcentration,CNN-64,3,243.6641845703125
BenzeneConcentration,CNN-64,4,251.62750244140625
BenzeneConcentration,CNN-64,5,231.09176635742188
NewsHeadlineSentiment,CNN-16,1,14.984479904174805
NewsHeadlineSentiment,CNN-16,2,14.982933044433594
NewsHeadlineSentiment,CNN-16,3,14.989544868469238
NewsHeadlineSentiment,CNN-16,4,14.986824035644531
NewsHeadlineSentiment,CNN-16,5,14.983866691589355
NewsHeadlineSentiment,CNN-32,1,15.853730201721191
NewsHeadlineSentiment,CNN-32,2,15.96376895904541
NewsHeadlineSentiment,CNN-32,3,15.576066970825195
NewsHeadlineSentiment,CNN-32,4,15.850808143615723
NewsHeadlineSentiment,CNN-32,5,15.71035385131836
NewsHeadlineSentiment,CNN-64,1,16.121793746948242
NewsHeadlineSentiment,CNN-64,2,15.849401473999023
NewsHeadlineSentiment,CNN-64,3,16.067855834960938
NewsHeadlineSentiment,CNN-64,4,16.004207611083984
NewsHeadlineSentiment,CNN-64,5,16.15676498413086
LiveFuelMoistureContent,CNN-16,1,1573.07861328125
LiveFuelMoistureContent,CNN-16,2,1553.396728515625
LiveFuelMoistureContent,CNN-16,3,1598.323486328125
LiveFuelMoistureContent,CNN-16,4,1582.966796875
LiveFuelMoistureContent,CNN-16,5,1571.5198974609375
LiveFuelMoistureContent,CNN-32,1,1422.03125
LiveFuelMoistureContent,CNN-32,2,1409.8668212890625
LiveFuelMoistureContent,CNN-32,3,1422.0489501953125
LiveFuelMoistureContent,CNN-32,4,1417.13623046875
LiveFuelMoistureContent,CNN-32,5,1398.9586181640625
LiveFuelMoistureContent,CNN-64,1,1237.650146484375
LiveFuelMoistureContent,CNN-64,2,1243.93896484375
LiveFuelMoistureContent,CNN-64,3,1219.28955078125
LiveFuelMoistureContent,CNN-64,4,1203.1138916015625
LiveFuelMoistureContent,CNN-64,5,1212.6953125
IEEEPPG,CNN-16,1,42.57560348510742
IEEEPPG,CNN-16,2,42.30540084838867
IEEEPPG,CNN-16,3,42.15396499633789
IEEEPPG,CNN-16,4,41.245506286621094
IEEEPPG,CNN-16,5,42.499732971191406
IEEEPPG,CNN-32,1,42.66485595703125
IEEEPPG,CNN-32,2,44.63823318481445
IEEEPPG,CNN-32,3,43.95991134643555
IEEEPPG,CNN-32,4,43.2547721862793
IEEEPPG,CNN-32,5,43.65826416015625
IEEEPPG,CNN-64,1,41.690555572509766
IEEEPPG,CNN-64,2,41.60760498046875
IEEEPPG,CNN-64,3,42.192684173583984
IEEEPPG,CNN-64,4,42.42533874511719
IEEEPPG,CNN-64,5,41.29290008544922
PPGDalia,CNN-16,1,54.97922897338867
PPGDalia,CNN-16,2,54.714752197265625
PPGDalia,CNN-16,3,54.989158630371094
PPGDalia,CNN-16,4,55.278831481933594
PPGDalia,CNN-16,5,55.084716796875
PPGDalia,CNN-32,1,51.40248107910156
PPGDalia,CNN-32,2,51.364444732666016
PPGDalia,CNN-32,3,51.744354248046875
PPGDalia,CNN-32,4,52.24946594238281
PPGDalia,CNN-32,5,51.674537658691406
PPGDalia,CNN-64,1,43.71049880981445
PPGDalia,CNN-64,2,43.49440383911133
PPGDalia,CNN-64,3,43.44133758544922
PPGDalia,CNN-64,4,44.0413703918457
PPGDalia,CNN-64,5,43.619384765625
BIDMC32HR,CNN-16,1,0.3491670489311218
BIDMC32HR,CNN-16,2,0.37040603160858154
