dataset,model,rmse
BIDMC32HR,CNN-16,0.3562174677848816
BIDMC32HR,CNN-32,0.34296453595161436
BIDMC32HR,CNN-64,0.3648777663707733
BIDMC32HR,FCN,0.10863398909568786
BIDMC32HR,InceptionTime,0.1312301814556122
BIDMC32HR,ResNet,0.10863398909568786
BenzeneConcentration,CNN-16,292.7955261230469
BenzeneConcentration,CNN-32,258.91062622070314
BenzeneConcentration,CNN-64,241.59185791015625
BenzeneConcentration,FCN,600.7744812011719
BenzeneConcentration,InceptionTime,659.989794921875
BenzeneConcentration,ResNet,780.9531372070312
HouseholdPowerConsumption1,CNN-16,4.661151504516601
HouseholdPowerConsumption1,CNN-32,4.0829832553863525
HouseholdPowerConsumption1,CNN-64,4.121371936798096
HouseholdPowerConsumption1,FCN,101.34325408935547
HouseholdPowerConsumption1,InceptionTime,95.23766784667968
HouseholdPowerConsumption1,ResNet,103.55189819335938
IEEEPPG,CNN-16,42.1560417175293
IEEEPPG,CNN-32,43.63520736694336
IEEEPPG,CNN-64,41.84181671142578
IEEEPPG,FCN,63.899777221679685
IEEEPPG,InceptionTime,26.56151008605957
IEEEPPG,ResNet,45.42202224731445
LiveFuelMoistureContent,CNN-16,1575.8571044921875
LiveFuelMoistureContent,CNN-32,1414.0083740234375
LiveFuelMoistureContent,CNN-64,1223.3375732421875
LiveFuelMoistureContent,FCN,1835.9339111328125
LiveFuelMoistureContent,InceptionTime,1927.0724365234375
LiveFuelMoistureContent,ResNet,1835.9339111328125
NewsHeadlineSentiment,CNN-16,14.985529708862305
NewsHeadlineSentiment,CNN-32,15.790945625305175
NewsHeadlineSentiment,CNN-64,16.04000473022461
NewsHeadlineSentiment,FCN,15.011150741577149
NewsHeadlineSentiment,InceptionTime,14.988570594787598
NewsHeadlineSentiment,ResNet,14.998083686828613
PPGDalia,CNN-16,55.0093376159668
PPGDalia,CNN-32,51.68705673217774
PPGDalia,CNN-64,43.66139907836914
PPGDalia,FCN,1.6154815435409546
PPGDalia,InceptionTime,1.6245864391326905
PPGDalia,ResNet,1.6154815435409546
